,
Cu cine se poate asemana Uzi?,Tony Montana.
,Maestrul Lacatus.
,Sisu.
,Easy E.
,
Care este singura promisiune de care nu s-a tinut Uzzi?,"Fara pop, fara rock, fara R&B."
,Fara gabori deghizati.
,Fara tarfe cu pretentii.
,Muie Puya.
,
Unde e actionar Tatae?,La S.C. Strazile
,La Avantul SRL
,La Casa
,La Familia
,
Dormi?,NU DORMI! E ZI
,Da
,Nu
,"Nu stiu, sunt nou pe linia asta"
,
Cine nu apare intr-un videoclip BUG?,Florin Piersic.
,Lacatus.
,Doroftei.
,Cabral.
,
Cum se numeste tovarasul lui Uzzi care e mort acum?,Mircea nebunu'
,Ion pestele'
,Cristi zis Coaie
,Cartierul.
,
De ce trebe sa curga ADN-ul pe pres?,sa iasa cash
,sa poti lua mostre
,ca e pres
,pete tong
,
Cum dai perversa de Craiova?,serios ca-n Moldova
,cu pumnu strans
,cu beton de bucuresti
,cu noapte de arad
,
"Toaca-i marunt, mic de tot......",compot
,julienne
,pilaf
,boef
,
Ma-n treba cineva daca-mi place viata mea? Eu i-am zis...,ca vine a 2a dupa mama
,ca viata este frumoasa si merita traita
,ca timpul zboara ca un fum 
,ca Dinamo bate cu 2 0
,
Cine da intotdeauna tonul ? ,Tarfele pe tocuri
,Gigi Mustatza 
,Pescarul
,Fane Buton
,
Gaseste intrusul!,Baetii.
,Smenarii.
,Hotii.
,Drogatii.
,
Cine nu a vrut sa mearga la puscarie?,Banica.
,Tatae.
,Lacatus.
,Puya.
,
De ce au ales BUG sa faca asta?,Pentru ca altceva n-a fost.
,Ca sa iasa din cartier.
,Pentru Mircea nebunu.
,Pentru ca automobile.
,
Cum nu poti sa ii spui lui Caddy?,Golan
,Borfas
,Vagabond
,Derbedeu
,
Cum o cheama pe Sotia lui Cady?,Diana
,Maria
,Ionela
,Drogul marihuana
,
Ce dau din suflet pentru tine?,Poezie de strada
,Droguri
,Mama
,Bani
,
Cine se tin de coaie in runda a 7-a?,Mancatorii
,Baietii
,Smecherii
,Fraierii
,
Ce face Uzzi?,Versuri
,Rime
,Combinatii
,Puscarie
,
Ce nu face Uzzi?,Rime
,Versuri
,Combinatii
,Puscarie
,
Ce nu-ti vine sa crezi?,Cum se schimba unii in curve
,Economia tarii
,Cat de repede poti s-o iei
,Mos Craciun
,
Ce fel de solutii prezinta Caddy?,Radicale
,Bune
,Eficiente
,Pasnice
,
Cum ai putea sa intelegi ceva?,Privind bine pe langa tine
,Invatand la scoala
,Masterat in strada
,La puscarie
,
Ce vorba de pe strada o stiu toti ai mei ?,Cele mai multe tarfe nu-s femei
,Maturoaieeeeeee !!!!!
,Ce faci cuaie ?
,Vorbeste lumea
,
Cum umblu eu incet si sigur ? ,Ca un Cadilac
,Cu grija
,Pas cu pas
,Ca un tigan la furat
,
Cum m-a invatat tata ?,Sa nu ratez nici o femeie pula-n pizda gata fata
,Sa fiu respectuos
,Sa ma uit in stanga si in dreapta cand trec strada
,Sa beau pana crap
,
Unde sa ti-o trag?,Intre picioare!
,In ceafa!
,In frunte!
,In lift!
,
Care tempo iti face varza boxele?,Acelasi.
,Altul.
,Bossa-nova.
,Sincopatic.
,
,
Cine imi arata tot ce trebuie sa stiu?,Strazile.
,Domnul diriginte.
,Patriarhul Daniel.
,Un nene.
,
Ce am inceput sa pun pe foaie?,Tot ce simt.
,Lista de cumparaturi.
,Lista de cheltuieli.
,Slanina!
,
Cat era fratele lu Caddy?,Cat un pumn.
,Cat putea si el.
,Cat o lebenita.
,Atata!
,
De ce e bine sa te feresti?,De heroina.
,De magarus.
,De dracu.
,De Fisc.
,
Ce pui pe Caddy cand il vezi pe strada?,Cainii.
,O patura.
,Politia.
,Vina.
,
Decat cine e mai inteligent Uzzi?,Tine.
,Einstein.
,Nea Marin.
,Moromete.
,
Hai sa facem ce ? ,Cu noi sa fim high
,Sa mergem la Moldovan la un steak
,Sa dam o Dota
,Sa ne uitam la un film
,
Ce faci daca stii pontu cu fumu ? ,Nu ii dai drumu
,Nimic
,Zici si la altii
,Mergi pana la farmacie
,
Atentie !! Ca ce ?,Ca venim la tine acasa 
,Joaca Steaua in campionat 
,Cineva o infundat buda iar
,Trenul accelerat 1234 va sosi in statie pe linia 5
,
De unde e Caddy?,De unde nici nu gandesti.
,Din Medgidia.
,Din Sebes.
,De unde poate si el.
,
Catre cine se transmite de la biroul de la circa ? ,Catre 2 dube ruginite
,Catre Vladimir Putin
,Catre Adrian Copilu minune
,Catre Partidul National Liberal
,
Ce stie toata lumea ?,Ca esti doar un cacat
,Daniela Gyorfi are silicoane
,"Daca iti bagi mancare in cur, o sa te caci pe gura"
,Sa conduca o masina
,
Ce vor fi tarfele pan' la sfarsit?,Tarfe
,Bagaboante
,Ospatarite
,Nimic
,
"De cand a inceput Uzzi sa bea, sa fure, sa futa, sa traga?",De la'nceput
,Din '99
,Nu isi mai aminteste de cand
,De la ultima zi de nastere a lu Tataee
,
"Cand iti doresti prea mult si n-ai de unde, te duci unde ?",La Furat
,Iti cauti un Job
,Ceri de la mamata
,Mergi la cersit
,
Cu ce tre sa dai unde doare cel mai tare?,Cu paru'
,Cu cutitu plin de sange si rugina
,Cu pula
,Cu ce'ai tu prin buzunare
,
Pe unde am trecut?,Prin foc.
,Prin gara.
,Prin scoala.
,Pe unde am putut si eu.
,
Cum m-am ridicat?,Cu talpile arse.
,Cu greu.
,Cu ajutorul brancardierului.
,Cu tupeu.
,
Fraiere ! Ce ti`am mai zis eu tie ? ,Sugi pula
,Ai de grija
,Sa imi aduci maine sticku ala cu ultimele episoade din GoT
,Stai la turn si nu mai feeda
esti ,
Ce face un ministru corupt?,Doarme intr-o baie
,Fura cat apuca
,Treaba pan' la capat
,Agitatie intr-una
,
De ce trebuie sa ai grija cand intri undeva?,Ce zici
,La cap
,Sa nu trezesti pe cineva
,Sa nu lasi usa deschisa ca e curent
,
Pe cine am preferat in defavoarea celor la costum?,Pe cei cu Nike
,Pe martorii lui Iehova
,Pe minori
,Pe Ada Milea
,
Cum ne-a invatat Tupac sa aratam?,Cu degetele mijlocii.
,Cu gratie.
,Intr-un powerpoint.
,Cu un pointer.
,
Ce grupare este mai numeroasa decat armata?,Fanii Mafia.
,Martorii lui Iehova.
,Mos Craciun si prietenii sai.
,Votantii Elenei Udrea.
,
Unde poarta Caddy medaliile?,Adanc in sufletul sau.
,Intr-o servieta.
,In buzunar.
,In portbagaj.
,
Cu ce asociaza multe persoane faptul de a fi smecher?,Cu smardoiala.
,Cu un taur comunal.
,Cu un tigan.
,Cu 5 tigani.
